@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0,0,0,0.12,0,0,1.52,0,0,0,0,0,1.52,1.52,0.12,0.12,Negative
0,0,0,1.63,0,2.25,0.62,0,0,0,0,0,2.25,2.25,0,0,Negative
0,0,0,0,0,2.55,0,0,0,0,0,0,0,2.55,2.55,0,Negative
0,0,0.13,0,0.22,0.57,0.57,0,0,0,0,0,1.7,0.57,0.26,1.39,Negative
0,0,0,0.64,0,0.64,0,0,0,0,0,0,0.23,0.64,1.82,1.42,Negative
0,0,0,1.05,0,1.3,0.63,0.38,0.38,0,0.73,0.38,0.83,1.78,1.33,0.28,Negative
0,0,0.15,0,0,0,1.3,0,0,0,1.3,0,0.46,1.3,1.62,0.78,Negative
0,0,0.26,0.89,0,1.53,0.64,0,0,0,0,0,0.45,0.64,2.02,1.83,Negative
0.09,0,0.29,0.19,0,0.58,0,0,0,0.26,0,0.26,0.52,0.84,0.62,0.29,Negative
0.12,0,0,0,0.17,0.4,0.4,0,0,0,0,0,1.51,0.4,0.15,1.26,Negative
0,0,0,0,0,0.5,0.84,1.3,1.7,0.81,0.96,1.15,2.61,2.61,0,0,Negative
1.19,0,0.99,0,0.63,0,0,0,0,0,0,0,0.67,0,1.39,2.05,Negative
0,0,0,0,0,0.94,0.2,1.12,1.37,0.22,1.23,0.65,2.18,2.39,0.22,0,Negative
0.15,0,0.15,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,Negative
0,0,0,0,0,1.65,1.88,0,0,0,0,0,0.23,1.88,1.65,0,Negative
0.75,0,0.53,0,0,0.93,1.3,0,0,0,0,0,0.75,1.3,1.3,0.75,Negative
0,0,0,0,0.67,0,0,0,0,0,0,0,2.01,0,0,2.01,Negative
0,0,0,0,0,1.63,1.5,0,0,0,0,0,0.13,1.88,1.75,0,Negative
0,0,0,2.06,0,0.54,0,0,0,0,0,0,1.72,0.54,0.33,1.52,Negative
0,0,0,0,0,1.87,1.47,0,0,0,0,0,1.47,2.09,0.62,0,Negative
0,0,0.07,0.73,0.07,0.19,0.19,0,0,0,0,0,0.07,0.26,2.02,1.82,Negative
0.14,0,0.14,0.16,0,0,0,0,0,0,0,0,0.37,0.09,0.16,0.43,Negative
1.07,0,0.38,0.15,0.36,0.07,0,0,0,0,0,0,1.28,0.07,0.61,1.82,Negative
0,0,0,0,1.94,0,0,0,0,0,0,0,1.94,0,0,1.94,Negative
0,0,0,0,0,0,1.42,0,0,0,0,0,1.42,1.55,0.13,0,Positive
0.36,0,0.32,0,0,1.52,0.42,0,0,0,0,0,1.58,1.52,0.57,0.51,Positive
0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,2.4,Positive
0,0,0,0,0,1.79,0,0,0,0,0,0,0,1.79,1.79,0,Positive
0,0,0,1.52,0,1.56,0,0.15,0.15,0,0,0,0.35,0.55,1.36,1.17,Positive
0.18,0,0.18,0,0,0.18,0.2,0,0,0,0.2,0,0.18,0.38,0.57,0.18,Positive
0,0,0,0.15,0,1.17,1.02,0,0,0,0,0,0,1.17,1.82,0.65,Positive
0,0,0,0,0.2,1.52,1.52,0,0,0,0,0,1.72,1.52,1.52,0.2,Positive
0,0,0,0,0,2.13,0,0,0,0,0,0,2.13,2.42,0.29,0,Positive
0,0,0,1.39,0,0.58,0,0,0,0,0,0,0,0.58,2.14,1.56,Positive
0,0,0,0,0,0.49,1.48,0,0.14,0,0.6,0,1.15,1.69,1.27,0.27,Positive
0.51,0,0.72,0,0.89,0,0.12,0,0,0,0,0,1.31,0.12,0.51,1.7,Positive
0,0,0,0,0,0.21,0.22,1.17,1.28,0.93,1.12,0.93,1.2,1.78,1.03,0,Positive
0,0,0.5,0,0.5,0.6,0.94,0,0,0,0.34,0,0.9,0.94,0.94,0.9,Neutral
0,0,0,0.13,0,1.55,1.67,0,0,0,0,0,0.34,1.67,1.48,0.16,Neutral
0.83,0,0.68,0,0,1.07,1.07,0,0,0,0,0,0.83,1.07,1.07,0.83,Neutral
0,0,0,0.32,0,1.37,0,0,0,0,0,0,1.83,1.37,0,0.47,Neutral
0,0,0,0,0,1.38,0,0,0,0,0,0,0.15,1.88,1.73,0,Neutral
0,0,0,1.51,0,0,0,0,0,0,0,0,1.97,0,1.51,1.97,Neutral
0,0,0,0.2,0.3,1.1,1.44,0,0,0,0.34,0,0,1.44,1.94,0.5,Neutral
0.17,0,0,0,0,2.21,2.21,0,0,0,0,0,0.17,2.21,2.21,0.17,Neutral
0,0,0,0.17,0,1.86,0,0,0,0,0,0,0.62,1.86,2.04,0.17,Neutral
0.57,0,0.57,0.13,0.57,1.0,0.59,0,0,0,0,0,0.57,1.13,1.13,0.57,Neutral
0,0,0,0,0,0,0.17,0.33,0,0.33,0,0.33,0.17,0.51,0.33,0,Neutral
0,0,0,0,0,0.05,0.2,1.61,1.79,1.13,0.81,1.13,1.22,1.99,0.95,0,Neutral
1.74,0.12,0.77,0.15,0,0.17,0,0,0,0,0,0,1.29,0.17,0.88,2.01,Neutral
0,0,0,0,0,1.65,1.5,0,0,0,0,0,1.59,1.65,1.57,0,Neutral
1.37,0.1,0,0,0,0,0,0,0,0,0,0,1.47,0,0,1.47,Neutral
0,0,0,0.68,0,0.35,0.77,0,0,0,0.77,0,1.45,1.12,0.35,0.68,Negative
0,0,0.75,0.15,0,0.63,0.18,0.12,0.23,0.12,0.12,0.12,0.9,0.87,0.87,0.9,Negative
0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,Negative
0,0,0,0,0,0.13,0,0,0,0,0,0,0,1.96,1.96,0,Negative
0,0,0,0.18,0,0.07,1.1,0,0,0,1.1,0,0.25,1.17,1.43,0.45,Negative
0,0,0,0.2,0,1.7,1.5,0,0,0,0,0,1.87,1.7,0,0.17,Negative
0,0,0,0.96,0,1.41,0,0,0,0,0,0,1.58,1.41,0.79,0.96,Negative
0,0,0,1.72,0,0,0,0,0,0,0,0,0.45,0.14,2.02,1.88,Negative
0,0,0,0,0,0,0.07,1.76,1.76,1.39,1.44,1.85,2.03,2.03,0,0,Negative
0,0,0,0,0,1.49,1.56,0,0,0,0,0,0.18,1.67,1.49,0,Negative
0,0,0,0,1.63,0,0,0,0,0,0,0,1.83,0,0,1.83,Negative
0,0,0,0,0,0,1.82,0,0,0,1.82,0,0.35,1.92,1.92,0.35,Negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.3,Negative
0,0,0,0,0,0,2.26,0,0,0,0,0,0,2.26,2.26,0,Negative
0.38,0,0.38,0.22,0.38,0.83,0.58,0,0.3,0,0.3,0,1.48,1.13,0.72,1.07,Negative
1.11,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0.36,0.75,1.83,1.45,Negative
0,0,0.7,0.29,0,1.42,0,0,0,0,0,0,0.92,1.32,1.58,1.18,Negative
0,0,0,0,0,0.23,1.86,0,0,0,0,0,0.67,1.86,1.19,0,Negative
0.17,0,0.17,0,0,0,0,0,0,0,0,0,2.22,0,0,2.22,Negative
0.33,0,0.82,0,0.48,1.1,1.1,0,0,0,0,0,1.92,1.1,0.47,1.28,Negative
0,0,0,0,0,1.98,1.82,0,0,0,0,0,1.88,1.98,0.17,0.07,Negative
0.92,0,0.75,0,0,0.63,0.17,0,0,0,0,0,1.08,0.8,0.63,0.92,Negative
0.48,0,0,1.4,0,0.17,0,0,0,0,0,0,0.48,0.17,1.57,1.88,Negative
0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,2.13,0,Negative
0,0,0,0.9,0,0.77,0,0,0.17,0,0.17,0,0.85,1.55,1.17,0.47,Negative
0.7,0,0,0.47,0,0,0,0,0,0,0,0,0.67,0,1.34,2.01,Negative
0,0,0,1.05,0,0.25,0.5,0,0,0,0.22,0,1.1,0.83,0.78,1.05,Negative
0,0,0,0,0.28,1.13,1.13,0,0,0,0,0,0.62,1.3,0.97,0.28,Negative
0,0,0,2.02,0,0.6,0,0,0,0,0,0,1.68,0.6,0.93,2.02,Negative
1.49,0,1.19,0,0.45,0.22,0,0,0,0,0,0,0.67,0.4,1.89,1.78,Negative
0.22,0,0.22,0,0,0.13,0.41,0.15,0.23,0,0.37,0,0.86,0.64,0,0.22,Negative
0.73,0,0.25,0.92,0,0,0,0,0,0,0,0,1.34,0,0.74,2.08,Negative
